paper_title,arxiv_id,submitted_date,method,method_variant,method_family,backbone_family,backbone_size,latent_or_pixel,encoder_or_tokenizer,epochs,params_m,dataset,resolution,class_conditional,guidance,fid_type,fid,inception_score,precision,recall,nfe_or_steps,training_type,source_url,source_table,notes,tldr
DC-DiT: Adaptive Compute and Elastic Inference for Visual Generation via Dynamic Chunking,2603.06351,2026-03-06,DC-DiT-XL,"Lite-CFG, tail drop 0.9",latent_diffusion_vae,DiT,XL,vae_latent,,,689,ImageNet-1k,256x256,yes,classifier_free,FID-50K,8.80,,,,,from_scratch,https://arxiv.org/abs/2603.06351,Table 1,"Best 256x256 DC-DiT row found in Table 1; method is primarily a compute-efficiency/token-allocation result, with tail-drop 0.9 and Lite-CFG=1.25.",Adaptive token chunking improves DiT quality-compute tradeoffs on ImageNet.
Continuous Adversarial Flow Models,2604.11521,2026-04-13,SiT+CAFM,guidance-free post-training,flow_matching,SiT,XL,vae_latent,SD-VAE,1400+10,675,ImageNet-1k,256x256,yes,none,FID,3.63,178.08,0.71,0.69,250,finetune,https://arxiv.org/abs/2604.11521,Tables 1 and 7,CAFM post-training for the official SiT-XL/2 checkpoint; paper text states guidance-free FID improves from 8.26 to 3.63.,Continuous adversarial post-training improves SiT flow samples without guidance.
Continuous Adversarial Flow Models,2604.11521,2026-04-13,SiT+CAFM,CFG 1.3 post-training,flow_matching,SiT,XL,vae_latent,SD-VAE,1400+10,675,ImageNet-1k,256x256,yes,classifier_free,FID,1.53,263.52,0.78,0.64,250,finetune,https://arxiv.org/abs/2604.11521,Tables 1 and 7,Best guided SiT+CAFM row in CFG sweep; lower best CFG than original SiT.,Continuous adversarial post-training improves guided SiT ImageNet-256 FID.
Continuous Adversarial Flow Models,2604.11521,2026-04-13,JiT+CAFM,guidance-free post-training,flow_matching,JiT,H,pixel,,600+10,956,ImageNet-1k,256x256,yes,none,FID,3.57,198.08,0.74,0.65,50,finetune,https://arxiv.org/abs/2604.11521,Tables 2 and 13,CAFM post-training for JiT-H/16; paper text states guidance-free FID improves from 7.17 to 3.57.,Continuous adversarial post-training improves pixel-space JiT without guidance.
Continuous Adversarial Flow Models,2604.11521,2026-04-13,JiT+CAFM,CFG 1.8 post-training,flow_matching,JiT,H,pixel,,600+10,956,ImageNet-1k,256x256,yes,classifier_free,FID,1.80,290.71,0.79,0.63,50,finetune,https://arxiv.org/abs/2604.11521,Tables 2 and 13,Best guided JiT+CAFM row in CFG sweep.,Continuous adversarial post-training gives a modest guided JiT gain.
Frequency-Aware Flow Matching for High-Quality Image Generation,2604.15521,2026-04-16,FreqFlow-L,with CFG,flow_matching,Transformer,L,vae_latent,VAE,1399,507,ImageNet-1k,256x256,yes,classifier_free,FID-50K,1.54,295.6,0.82,0.59,,from_scratch,https://arxiv.org/abs/2604.15521,Table 3,Class-conditional ImageNet 256x256 with CFG.,Frequency-aware flow branches improve latent ImageNet generation.
Frequency-Aware Flow Matching for High-Quality Image Generation,2604.15521,2026-04-16,FreqFlow-H,with CFG,flow_matching,Transformer,H,vae_latent,VAE,800,1080,ImageNet-1k,256x256,yes,classifier_free,FID-50K,1.38,298.5,0.80,0.63,,from_scratch,https://arxiv.org/abs/2604.15521,Table 3,Best FreqFlow ImageNet-256 CFG row.,Scaled frequency-aware flow matching reaches 1.38 FID on ImageNet-256.
Frequency-Aware Flow Matching for High-Quality Image Generation,2604.15521,2026-04-16,FreqFlow-L,without CFG,flow_matching,Transformer,L,vae_latent,VAE,1399,507,ImageNet-1k,256x256,yes,none,FID-50K,3.12,,,,,from_scratch,https://arxiv.org/abs/2604.15521,Table 4,Class-conditional ImageNet 256x256 without classifier-free guidance.,FreqFlow also improves guidance-free latent flow generation.
Frequency-Aware Flow Matching for High-Quality Image Generation,2604.15521,2026-04-16,FreqFlow-H,without CFG,flow_matching,Transformer,H,vae_latent,VAE,800,1080,ImageNet-1k,256x256,yes,none,FID-50K,2.45,,,,,from_scratch,https://arxiv.org/abs/2604.15521,Table 4,Best guidance-free FreqFlow-H ImageNet-256 row.,FreqFlow-H reduces unguided ImageNet-256 FID in latent space.
Posterior Augmented Flow Matching,2605.00825,2026-05-01,PAFM SiT-XL/2,"nearest-neighbor K=16, no CFG",flow_matching,SiT,XL,vae_latent,VAE + REPA,,675,ImageNet-1k,256x256,yes,none,FID50K,9.85,,0.68,0.65,50,from_scratch,https://arxiv.org/abs/2605.00825,Table 1,"Results after 400K iterations, without CFG and NFE=50; PAFM improves FM baseline from 11.14 to 9.85 for SiT-XL/2.",Posterior-augmented targets reduce flow-matching variance but are not SOTA-scale yet.
Training-Free Refinement of Flow Matching with Divergence-based Sampling,2604.04646,2026-04-06,FDS JiT-L/16,"Heun + FDS, 99 NFE",flow_matching,JiT,L,pixel,,,,ImageNet-1k,256x256,yes,reported_guidance,FID,2.496,329.70,,,99,sampler_only,https://arxiv.org/abs/2604.04646,Table 1,FDS is a training-free sampler refinement; row uses JiT-L/16 and Heun+FDS at 99 NFE.,Divergence-based refinement improves pixel-flow sampling at matched compute.
Training-Free Refinement of Flow Matching with Divergence-based Sampling,2604.04646,2026-04-06,FDS SiT-XL,"Heun + FDS, 99 NFE",flow_matching,SiT,XL,vae_latent,VAE,,675,ImageNet-1k,256x256,yes,reported_guidance,FID,2.103,255.11,,,99,sampler_only,https://arxiv.org/abs/2604.04646,Table 7,FDS on state-of-the-art latent SiT-XL backbone; Table 7 reports 50-step and 100-step settings.,Divergence-based refinement gives a small SiT-XL sampling gain.
One-Step Generative Modeling via Wasserstein Gradient Flows,2605.11755,2026-05-12,W-Flow-B/2,1-NFE,flow_matching,DiT,B,vae_latent,SD-VAE + latent MAE,,182,ImageNet-1k,256x256,yes,classifier_free,FID-50K,1.52,271.8,,,1,from_scratch,https://arxiv.org/abs/2605.11755,Table 3,"Params_m stores generator plus decoder, 133M+49M.",Wasserstein gradient-flow training yields strong one-step generation.
One-Step Generative Modeling via Wasserstein Gradient Flows,2605.11755,2026-05-12,W-Flow-L/2,1-NFE,flow_matching,DiT,L,vae_latent,SD-VAE + latent MAE,,512,ImageNet-1k,256x256,yes,classifier_free,FID-50K,1.35,272.5,,,1,from_scratch,https://arxiv.org/abs/2605.11755,Table 3,"Params_m stores generator plus decoder, 463M+49M.",W-Flow scales one-step ImageNet FID to the L backbone.
One-Step Generative Modeling via Wasserstein Gradient Flows,2605.11755,2026-05-12,W-Flow-XL/2,1-NFE,flow_matching,DiT,XL,vae_latent,SD-VAE + latent MAE,,728,ImageNet-1k,256x256,yes,classifier_free,FID-50K,1.29,265.4,,,1,from_scratch,https://arxiv.org/abs/2605.11755,Table 3,"Params_m stores generator plus decoder, 679M+49M; paper reports this as new one-step ImageNet-256 SOTA.",W-Flow-XL/2 sets a new one-step ImageNet-256 FID at 1.29.
HyperDiT: Hyper-Connected Transformers for High-Fidelity Pixel-Space Diffusion,2605.15741,2026-05-15,HyperDiT-XL,"CFG, 100x2 NFE",pixel_diffusion,DiT,XL,pixel,,600,676,ImageNet-1k,256x256,yes,classifier_free,FID,1.63,304.2,0.80,0.62,100x2,from_scratch,https://arxiv.org/abs/2605.15741,Table 1,Pixel-space generation with CFG; all metrics evaluated using 50K samples.,Hyper-connected cross-scale DiT improves pixel-space diffusion.
HyperDiT: Hyper-Connected Transformers for High-Fidelity Pixel-Space Diffusion,2605.15741,2026-05-15,HyperDiT-H,"CFG, 100x2 NFE",pixel_diffusion,DiT,H,pixel,,600,952,ImageNet-1k,256x256,yes,classifier_free,FID,1.56,306.5,0.80,0.64,100x2,from_scratch,https://arxiv.org/abs/2605.15741,Table 1,Best HyperDiT row; paper reports pixel-space SoTA among pixel-space diffusion models.,HyperDiT-H reaches 1.56 FID directly in pixel space.
PixelDiT: Pixel Diffusion Transformers for Image Generation,2511.20645,2025-11-25,PixelDiT-XL,"CFG 3.25 interval [0.10,1.00]",pixel_diffusion,DiT,XL,pixel,,80,797,ImageNet-1k,256x256,yes,classifier_free,gFID,2.36,282.3,0.80,0.57,100,from_scratch,https://arxiv.org/abs/2511.20645,Tables 1 and 9,"Class-conditioned ImageNet-256; Table 9 reports 400K training steps, 100-step FlowDPMSolver is the default ImageNet sampler, and sFID is 5.11.",PixelDiT trains a dual-level DiT directly in pixel space and reaches strong early ImageNet-256 quality.
PixelDiT: Pixel Diffusion Transformers for Image Generation,2511.20645,2025-11-25,PixelDiT-XL,"CFG 2.75 interval [0.10,0.90]",pixel_diffusion,DiT,XL,pixel,,320,797,ImageNet-1k,256x256,yes,classifier_free,gFID,1.61,292.7,0.78,0.64,100,from_scratch,https://arxiv.org/abs/2511.20645,Tables 1 and 9,"Main PixelDiT-XL ImageNet-256 row; Table 9 reports 1600K training steps, 100-step FlowDPMSolver is the default ImageNet sampler, and sFID is 4.68.",PixelDiT closes much of the pixel-vs-latent gap with 1.61 gFID on ImageNet-256.
PixelDiT: Pixel Diffusion Transformers for Image Generation,2511.20645,2025-11-25,PixelDiT-XL,"extended training, CFG 2.75 interval [0.10,0.90]",pixel_diffusion,DiT,XL,pixel,,800,797,ImageNet-1k,256x256,yes,classifier_free,gFID,1.54,297.0,0.78,0.65,100,from_scratch,https://arxiv.org/abs/2511.20645,Table 17,"Extended-training appendix row; default ImageNet sampling uses 100-step FlowDPMSolver and the paper states the 320-epoch setting uses CFG 2.75 on [0.10,0.90]; sFID is 4.49.",Extended training improves PixelDiT-XL to 1.54 gFID on ImageNet-256.
RiT: Vanilla Diffusion Transformers Suffice in Representation Space,2605.21981,2026-05-21,RiT-XL,"DINOv2-S, Time-shift, no CFG, 25 Heun",latent_diffusion_rae,DiT,XL,rae_latent,DINOv2-S + RAE decoder,800,676,ImageNet-1k,256x256,yes,none,FID-50K,1.45,,,,25 Heun,from_scratch,https://arxiv.org/abs/2605.21981,Table 4,Time-shift schedule with coupled noise; paper states FID-50K with class-balanced sampling following RAE.,RiT trains a vanilla DiT directly on frozen DINOv2 representation latents.
RiT: Vanilla Diffusion Transformers Suffice in Representation Space,2605.21981,2026-05-21,RiT-XL,"DINOv2-S, Time-shift, CFG=3.7 interval [0.1,0.98], 5 Heun",latent_diffusion_rae,DiT,XL,rae_latent,DINOv2-S + RAE decoder,800,676,ImageNet-1k,256x256,yes,classifier_free,FID-50K,1.99,,,,5 Heun,from_scratch,https://arxiv.org/abs/2605.21981,Tables 4 and 8,Guided Time-shift schedule with coupled noise; Table 8 lists CFG scale and interval.,RiT has strong few-step guided sampling without distillation.
RiT: Vanilla Diffusion Transformers Suffice in Representation Space,2605.21981,2026-05-21,RiT-XL,"DINOv2-S, Time-shift, CFG=3.7 interval [0.1,0.98], 10 Heun",latent_diffusion_rae,DiT,XL,rae_latent,DINOv2-S + RAE decoder,800,676,ImageNet-1k,256x256,yes,classifier_free,FID-50K,1.25,,,,10 Heun,from_scratch,https://arxiv.org/abs/2605.21981,Tables 4 and 8,Guided Time-shift schedule with coupled noise; Table 8 lists CFG scale and interval.,RiT reaches competitive ImageNet-256 FID at 10 Heun steps.
RiT: Vanilla Diffusion Transformers Suffice in Representation Space,2605.21981,2026-05-21,RiT-XL,"DINOv2-S, Time-shift, CFG=3.7 interval [0.1,0.98], 25 Heun",latent_diffusion_rae,DiT,XL,rae_latent,DINOv2-S + RAE decoder,800,676,ImageNet-1k,256x256,yes,classifier_free,FID-50K,1.14,,,,25 Heun,from_scratch,https://arxiv.org/abs/2605.21981,Tables 4 and 8,Guided Time-shift schedule with coupled noise; Table 8 lists CFG scale and interval.,RiT sets a strong guided representation-latent DiT row.
Rethinking Cross-Layer Information Routing in Diffusion Transformers,2605.20708,2026-05-20,DAR SiT-XL/2,"Static c4 SDE, no CFG",latent_diffusion_vae,SiT,XL,vae_latent,VAE,500K iters,751,ImageNet-1k,256x256,yes,none,FID-50K,6.92,138.8,0.70,0.67,250,from_scratch,https://arxiv.org/abs/2605.20708,Table 1,Table 1 reports SDE sampler row; evaluation section states 250 function evaluations by default.,Diffusion-Adaptive Routing improves SiT cross-layer information flow.
Rethinking Cross-Layer Information Routing in Diffusion Transformers,2605.20708,2026-05-20,DAR SiT-XL/2,"Dynamic c4 ODE, CFG w=1.5",latent_diffusion_vae,SiT,XL,vae_latent,VAE,,752,ImageNet-1k,256x256,yes,classifier_free,FID-50K,2.05,270.1,0.82,0.60,250,from_scratch,https://arxiv.org/abs/2605.20708,Table 1,Best guided DAR row in Table 1; dynamic routing increases parameters relative to vanilla SiT.,Diffusion-Adaptive Routing gives a guided ImageNet-256 gain at matched recipe.
Improved DDIM Sampling with Moment Matching Gaussian Mixtures,2311.04938,2023-11-07,DDIM-GMM-ORTHO-VUB,"eta=0, CFG=2.5, 10 steps",diffusion_sampler,unknown,unknown,vae_latent,VQVAE,,,ImageNet,256x256,yes,classifier_free,FID,6.94,207.85,,,10 steps,sampler_only,https://arxiv.org/abs/2311.04938,Appendix Table 5,Updated-after-2026 backfill; class-conditional ImageNet model in VQVAE latent space; Table 5 reports FID/IS.,Moment-matched GMM DDIM kernels improve few-step ImageNet sampling.
Distribution Matching Distillation without Fake Score Network,2605.19256,2026-05-18,FSF-DMD,"M=2, flow-map initialized, 2-step",flow_matching_distillation,LightningDiT,B,vae_latent,VA-VAE,4K peak steps,,ImageNet-1k,256x256,yes,classifier_free,FID50K,3.85,262.50,0.59,0.53,2,distillation,https://arxiv.org/abs/2605.19256,Tables 2 and 10,Default setup uses CFG scale 6.0 and 2-step generation; initialized from an improved MeanFlow flow-map model.,Fake-score-network-free DMD improves two-step flow-map distillation.
Distribution Matching Distillation without Fake Score Network,2605.19256,2026-05-18,FSF-DMD,"from scratch, 2-step",flow_matching,LightningDiT,B,vae_latent,VA-VAE,400K steps,,ImageNet-1k,256x256,yes,classifier_free,FID50K,6.35,194.91,,,2,from_scratch,https://arxiv.org/abs/2605.19256,Table 5,Training-from-scratch ImageNet-1K 256 row; paper uses LightningDiT-B/1 and VA-VAE latents.,FSF-DMD remains effective without flow-map initialization.
FrequencyBooster: Full-Frequency Modeling for High-Fidelity Pixel Diffusion,2605.17759,2026-05-17,FrequencyBooster-H/16,"CFG=3.0 interval [0.1,0.95], 320 epochs",pixel_diffusion,DiT,H,pixel,,320,1100,ImageNet-1k,256x256,yes,classifier_free,gFID,1.60,321,0.80,0.63,100x2,from_scratch,https://arxiv.org/abs/2605.17759,Tables 1 and 7,Table 1 reports the 320-epoch guided row; Table 7 identifies the best CFG scale and interval.,FrequencyBooster adds full-frequency pixel modeling to a DiT backbone.
FrequencyBooster: Full-Frequency Modeling for High-Fidelity Pixel Diffusion,2605.17759,2026-05-17,FrequencyBooster-H/16,"no CFG, 320 epochs",pixel_diffusion,DiT,H,pixel,,320,1100,ImageNet-1k,256x256,yes,none,gFID,3.79,199.48,0.75,0.62,100x2,from_scratch,https://arxiv.org/abs/2605.17759,Table 2,Guidance-free ImageNet 256x256 row from Table 2.,FrequencyBooster also improves unguided pixel diffusion.
Aligning Latent Geometry for Spherical Flow Matching in Image Generation,2605.15193,2026-05-14,Spherical-slerp FM,"FLUX.2 VAE, SiT-XL/2, CFG=1.5",flow_matching,SiT,XL,vae_latent,FLUX.2 VAE,80,,ImageNet-1k,256x256,yes,classifier_free,FID-50K,3.95,238.9,,,250,from_scratch,https://arxiv.org/abs/2605.15193,Table 5,"Matched 80-epoch latent-geometry comparison; row records spherical-slerp value, not the linear baseline.",Spherical latent support improves flow matching under matched training.
Aligning Latent Geometry for Spherical Flow Matching in Image Generation,2605.15193,2026-05-14,Spherical-slerp FM,"VA-VAE, SiT-XL/1, CFG=1.5",flow_matching,SiT,XL,vae_latent,VA-VAE,80,,ImageNet-1k,256x256,yes,classifier_free,FID-50K,3.88,263.2,,,250,from_scratch,https://arxiv.org/abs/2605.15193,Table 5,"Matched 80-epoch latent-geometry comparison; row records spherical-slerp value, not the linear baseline.",Spherical latent support transfers to VA-VAE XL flow matching.
Aligning Latent Geometry for Spherical Flow Matching in Image Generation,2605.15193,2026-05-14,Spherical-slerp FM,"REPA-E FLUX.1, SiT-B/2, CFG=2.0",flow_matching,SiT,B,vae_latent,REPA-E FLUX.1,80,,ImageNet-1k,256x256,yes,classifier_free,FID-50K,5.43,274.0,,,250,from_scratch,https://arxiv.org/abs/2605.15193,Table 5,Matched 80-epoch latent-geometry comparison; row records spherical-slerp value for the REPA-E tokenizer.,Spherical-slerp gains persist for the REPA-E tokenizer.
The Velocity Deficit: Initial Energy Injection for Flow Matching,2605.14819,2026-05-14,SSC,"SiT-XL/2, sstart=1.1 send=1.0, no CFG",flow_matching,SiT,XL,vae_latent,VAE,7M steps,675,ImageNet-1k,256x256,yes,none,FID,7.58,138.07,,,50,sampler_only,https://arxiv.org/abs/2605.14819,Tables 2 and 5,Training-free Scale Schedule Corrector on fully converged SiT-XL/2; Table 5 gives explicit no-CFG schedule row.,SSC corrects flow-matching integration lag without retraining.
Asymmetric Flow Models,2605.12964,2026-05-13,AsymFlow-H/16,"r=8, sigma_min=0.04, no REPA, 600 epochs",flow_matching,JiT,H,pixel,,600,953,ImageNet-1k,256x256,yes,reported_guidance,FID,1.76,312.0,,,,from_scratch,https://arxiv.org/abs/2605.12964,Table 1,Updated in current window as v2 on 2026-05-25; Table 1 compares AsymFlow r=8 against JiT-H/16 under ADM evaluation at the 600-epoch final checkpoint.,Rank-asymmetric velocity prediction improves pixel-space flow generation.
Asymmetric Flow Models,2605.12964,2026-05-13,AsymFlow-H/16,"r=8 + REPA, 600 epochs",flow_matching,JiT,H,pixel,,600,953,ImageNet-1k,256x256,yes,reported_guidance,FID,1.57,,,,,from_scratch,https://arxiv.org/abs/2605.12964,Table 2,Updated in current window as v2 on 2026-05-25; Table 2 reports the ImageNet 256x256 pixel diffusion comparison and notes starred JiT-protocol caveats for some baselines.,AsymFlow plus REPA reaches a leading pixel-space ImageNet-256 FID.
Joint Latent Transformer for Clean-Latent Prediction in Image Generation,2605.27102,2026-05-28,DiT-B/1,matched clean-latent target ablation,latent_diffusion_vae,DiT,B,vae_latent,FLUX.2 VAE,,,ImageNet-1k,256x256,yes,unknown,FID-50K,2.56,220.74,,,,from_scratch,https://arxiv.org/abs/2605.27102,Project Results: Matched Target Ablation,Project table linked from arXiv reports ImageNet-1K 256x256 FID-50K and IS; exact paper table number and CFG protocol need PDF confirmation.,Clean-latent prediction improves a matched latent DiT-B/1 target ablation.
Joint Latent Transformer for Clean-Latent Prediction in Image Generation,2605.27102,2026-05-28,DiT-B/1,matched velocity target ablation,latent_diffusion_vae,DiT,B,vae_latent,FLUX.2 VAE,,,ImageNet-1k,256x256,yes,unknown,FID-50K,6.56,155.70,,,,from_scratch,https://arxiv.org/abs/2605.27102,Project Results: Matched Target Ablation,Project table linked from arXiv reports ImageNet-1K 256x256 FID-50K and IS; retained as matched target comparison.,Velocity prediction matched ablation for JLT target comparison.
Joint Latent Transformer for Clean-Latent Prediction in Image Generation,2605.27102,2026-05-28,JLT-B/2,matched clean-latent target ablation,latent_diffusion_vae,DiT,B,vae_latent,FLUX.2 VAE,,,ImageNet-1k,256x256,yes,unknown,FID-50K,14.81,83.05,,,,from_scratch,https://arxiv.org/abs/2605.27102,Project Results: Matched Target Ablation,Project table linked from arXiv reports ImageNet-1K 256x256 FID-50K and IS; patch-size B/2 row preserved separately.,Clean-latent JLT-B/2 row from matched target ablation.
Joint Latent Transformer for Clean-Latent Prediction in Image Generation,2605.27102,2026-05-28,DiT-B/2,matched velocity target ablation,latent_diffusion_vae,DiT,B,vae_latent,FLUX.2 VAE,,,ImageNet-1k,256x256,yes,unknown,FID-50K,28.71,32.93,,,,from_scratch,https://arxiv.org/abs/2605.27102,Project Results: Matched Target Ablation,Project table linked from arXiv reports ImageNet-1K 256x256 FID-50K and IS; retained as matched target comparison.,Velocity-prediction DiT-B/2 row from matched target ablation.
Joint Latent Transformer for Clean-Latent Prediction in Image Generation,2605.27102,2026-05-28,JLT-B/1,final 50-step Heun,latent_diffusion_vae,DiT,B,vae_latent,FLUX.2 VAE,,,ImageNet-1k,256x256,yes,unknown,FID-50K,2.50,218.52,,,50,from_scratch,https://arxiv.org/abs/2605.27102,Project Results: ImageNet-1K 256x256,Project table linked from arXiv reports the final JLT-B/1 50-step Heun ImageNet-1K 256x256 row; exact CFG protocol needs PDF confirmation.,JLT-B/1 clean-latent prediction reaches 2.50 FID-50K at 50 Heun steps.
RSTR: Reducing SpatioTemporal Redundancy in Diffusion Transformers,2512.14096,2025-12-16,RSTR,"DiT-XL/2, sparse CFG schedule, no adaptive caching",diffusion_transformer_acceleration,DiT,XL,vae_latent,VAE,unknown,675,ImageNet-1k,256x256,yes,classifier_free,FID,2.10,263.0,0.819,0.588,50 steps / 8 CFG steps,sampler_only,https://arxiv.org/abs/2512.14096,Table 1,"Updated-after-2026 backfill; Table 1 reports ImageNet 256x256 with 50 DDIM steps and sparse CFG, before adaptive caching. Precision/recall converted from percent-like table values.",RSTR sparse CFG improves DiT-XL/2 ImageNet-256 FID while reducing compute.
RSTR: Reducing SpatioTemporal Redundancy in Diffusion Transformers,2512.14096,2025-12-16,RSTR,"DiT-XL/2, sparse CFG + adaptive rank caching",diffusion_transformer_acceleration,DiT,XL,vae_latent,VAE,unknown,675,ImageNet-1k,256x256,yes,classifier_free,FID,2.04,266.5,0.821,0.587,50 steps / 8 CFG steps,sampler_only,https://arxiv.org/abs/2512.14096,Table 1,Updated-after-2026 backfill; adaptive caching row reports lower MACs/latency and best Table 1 ImageNet 256x256 FID. Precision/recall converted from percent-like table values.,RSTR combines sparse CFG and adaptive caching for faster DiT-XL/2 sampling.
Improved Baselines with Representation Autoencoders,2605.18324,2026-05-18,RAEv2,"DINOv3-L K=7, REPA internal guidance, 80 epochs",latent_diffusion_rae,DiT-DH,XL,rae_latent,DINOv3-L,80,839,ImageNet-1k,256x256,yes,other,gFID,1.06,255.3,,,unknown,from_scratch,https://arxiv.org/abs/2605.18324,Tables 4 and 7,"Table 4 reports REPA Guidance gFID for K=7; Table 7 identifies this as the final guided ImageNet-256 gFID at 80 epochs. Guidance is internal REPA-head guidance, not CFG.",RAEv2 reaches 1.06 gFID on ImageNet-256 in 80 epochs.
Diffusion Image Generation with Explicit Modeling of Data Manifold Geometry,2606.00094,2026-05-25,MIND-B,"80 epochs, no guidance",discrete_continuous_diffusion,DiT,B,other_latent,discrete patch tokenizer,80,130,ImageNet-1k,256x256,yes,none,FID,22.73,56.17,0.55,0.58,250,from_scratch,https://arxiv.org/abs/2606.00094,Table 1,Class-conditional ImageNet 256x256 without guidance; Table S-3 states 250 sampling steps for MIND inference.,MIND-B improves the no-guidance DiT-B/2 ImageNet-256 baseline after 80 epochs.
Diffusion Image Generation with Explicit Modeling of Data Manifold Geometry,2606.00094,2026-05-25,MIND-B-G,"guided, GigaTok/advanced-tokenizer setting",discrete_continuous_diffusion,DiT,B,other_latent,GigaTok/discrete tokenizer,1600,130,ImageNet-1k,256x256,yes,classifier_free,FID,2.06,268.03,0.78,0.62,250,from_scratch,https://arxiv.org/abs/2606.00094,Table 3,Table 3 system-level ImageNet 256x256 comparison; abstract identifies this as guided MIND-B. Exact CFG interval comes from supplementary sampling table but is summarized as classifier-free guidance.,Guided MIND-B reaches 2.06 FID on ImageNet-256.
Diffusion Image Generation with Explicit Modeling of Data Manifold Geometry,2606.00094,2026-05-25,MIND-XL,guided system comparison,discrete_continuous_diffusion,DiT,XL,other_latent,discrete patch tokenizer,1000,715,ImageNet-1k,256x256,yes,classifier_free,FID,1.97,297.93,0.78,0.61,250,from_scratch,https://arxiv.org/abs/2606.00094,Table 3,Table 3 ImageNet 256x256 system-level row; paper reports MIND-XL at 715M parameters.,MIND-XL reaches 1.97 FID in the ImageNet-256 system comparison.
Diffusion Image Generation with Explicit Modeling of Data Manifold Geometry,2606.00094,2026-05-25,MIND-XL-G,"guided, GigaTok/advanced-tokenizer setting",discrete_continuous_diffusion,DiT,XL,other_latent,GigaTok/discrete tokenizer,1600,715,ImageNet-1k,256x256,yes,classifier_free,FID,1.95,293.78,0.75,0.67,250,from_scratch,https://arxiv.org/abs/2606.00094,Table 3,Table 3 ImageNet 256x256 system-level row; retained separately from MIND-XL due different guided/tokenizer variant.,MIND-XL-G reaches 1.95 FID on ImageNet-256.
Diffusion Image Generation with Explicit Modeling of Data Manifold Geometry,2606.00094,2026-05-25,MIND-B-G,one-step FD-loss distillation,discrete_continuous_diffusion,DiT,B,other_latent,GigaTok/discrete tokenizer,1600+40,130,ImageNet-1k,256x256,yes,reported_guidance,FID,0.98,276.41,0.78,0.64,1,distillation,https://arxiv.org/abs/2606.00094,Table 3,Table 3 reports the one-step MIND-B-G row after additional FD-loss distillation; protocol is unusual and should be compared separately from iterative samplers.,One-step distilled MIND-B-G reports 0.98 FID on ImageNet-256.
Complexity-Balanced Diffusion Splitting,2606.06477,2026-06-04,CBS,"SiT-XL/2, complexity split (0.4, 0.77), CFG",flow_matching,SiT,XL,vae_latent,VAE,unknown,675,ImageNet-1k,256x256,yes,classifier_free,FID,4.03,162.23,0.73,0.56,unknown,from_scratch,https://arxiv.org/abs/2606.06477,Table 1,Table 1 reports ImageNet-256 SiT-XL/2 with CFG; active parameter count and per-step GFLOPs match monolithic SiT-XL/2.,CBS improves guided SiT-XL/2 ImageNet-256 FID without extra per-step compute.
CSFlow: Aligning Flow Matching with Human Contrast Sensitivity,2606.08833,2026-06-07,CSFlow,"JiT-H/16, inference weights beta=0.4",flow_matching,JiT,H,pixel,,600,unknown,ImageNet-1k,256x256,yes,classifier_free,FID,1.79,297.5,,,50,sampler_only,https://arxiv.org/abs/2606.08833,Table 2,Table 2 reports ImageNet 256x256 class-to-image with CFG; paper text states Heun sampler with 50 steps and inference-only timestep modification.,CSFlow inference weighting improves JiT-H/16 ImageNet-256 FID.
CSFlow: Aligning Flow Matching with Human Contrast Sensitivity,2606.08833,2026-06-07,CSFlow,"PixelGen-XL/16, inference weights beta=0.5",flow_matching,Transformer,XL,pixel,,160,unknown,ImageNet-1k,256x256,yes,classifier_free,FID,1.87,303.6,,,50,sampler_only,https://arxiv.org/abs/2606.08833,Table 2,Table 2 reports ImageNet 256x256 class-to-image with CFG; PixelGen-XL/16 baseline is preserved separately from JiT-H/16.,CSFlow inference weighting improves PixelGen-XL/16 ImageNet-256 FID.
"Show the Signal, Hide the Noise: Spectral Forcing for Pixel-Space Diffusion",2606.15236,2026-06-13,Spectral Forcing,"JiT-700M/32, linear SF, 60 epochs",pixel_diffusion,JiT,unknown,pixel,,60,700,ImageNet-1k,256x256,yes,classifier_free,FID-50k,20.68,93.96,,,50,from_scratch,https://arxiv.org/abs/2606.15236,Table 3 and Section 4,Table 3 reports FID-50k against the canonical ImageNet-256 reference; Section 4 states Heun-50 with CFG scale 2.9 and the text reports IS 93.96 for this 60-epoch row.,Spectral Forcing improves JiT-700M/32 FID at 60 epochs.
"Show the Signal, Hide the Noise: Spectral Forcing for Pixel-Space Diffusion",2606.15236,2026-06-13,Spectral Forcing,"JiT-700M/32, linear SF, 120 epochs",pixel_diffusion,JiT,unknown,pixel,,120,700,ImageNet-1k,256x256,yes,classifier_free,FID-50k,15.15,,,,50,from_scratch,https://arxiv.org/abs/2606.15236,Table 3 and Figure 4,Table 3/Figure 4 report the 120-epoch JiT-700M/32 Linear-SF ImageNet-256 FID-50k; IS not visible in extracted table text.,Spectral Forcing maintains a stronger JiT-700M/32 FID at 120 epochs.
